2026-04-30T14:24:25: PM2 log: ===============================================================================
2026-04-30T15:23:36: PM2 error: Error caught while calling pidusage
2026-04-30T15:23:36: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:23:36: PM2 log: Stopping app:FileServer id:0
2026-04-30T15:23:37: PM2 log: App [FileServer:0] exited with code [1] via signal [SIGINT]
2026-04-30T15:23:37: PM2 log: pid=31636 msg=process killed
2026-04-30T15:23:37: PM2 log: App [FileServer:0] starting in -fork mode-
2026-04-30T15:23:37: PM2 log: App [FileServer:0] online
2026-04-30T15:23:37: PM2 error: Error caught while calling pidusage
2026-04-30T15:23:37: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:23:40: PM2 error: Error caught while calling pidusage
2026-04-30T15:23:40: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:23:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:23:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:24:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:24:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:24:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:24:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:25:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:25:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:25:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:25:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:26:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:26:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:26:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:26:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:27:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:27:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:27:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:27:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:28:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:28:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:28:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:28:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:29:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:29:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:29:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:29:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:30:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:30:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:30:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:30:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:31:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:31:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:31:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:31:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:32:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:32:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:32:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:32:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:33:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:33:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:33:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:33:56: PM2 error: Error: Error: spawn wmic ENOENT
